from_node_id,to_node_id,maxspeed,length,speed_kph,travel_time,bearing,geometry,highway_type,out_degree,in_degree,lanes
14,3607,0,111.654,44.4,9.1,4.0,"LINESTRING (-8.6148066 41.1499243, -8.6147925 41.1501202, -8.6147189 41.1508604, -8.6147127 41.1509259)",3,1,2,0
15,2243,50,303.116,50.0,21.8,181.3,"LINESTRING (-8.612017700000001 41.152994, -8.612098899999999 41.1502687)",3,2,1,0
15,42,0,202.158,44.4,16.4,129.0,"LINESTRING (-8.612017700000001 41.152994, -8.6108785 41.1522982, -8.6102726 41.1519282, -8.6101425 41.1518487)",3,1,1,2
16,15,50,67.076,50.0,4.8,181.6,"LINESTRING (-8.6119957 41.153597, -8.612017700000001 41.152994)",3,2,1,0
16,4412,0,45.67,48.6,3.4,92.4,"LINESTRING (-8.6119957 41.153597, -8.611532199999999 41.1535869, -8.611451000000001 41.1535795)",4,2,1,2
17,2522,0,13.609,48.6,1.0,308.3,"LINESTRING (-8.612159200000001 41.1479515, -8.6122867 41.1480274)",4,2,1,2
17,21,50,86.227,50.0,6.2,181.5,"LINESTRING (-8.612159200000001 41.1479515, -8.6121602 41.1479214, -8.6121614 41.1478888, -8.612186100000001 41.1471763)",3,2,1,0
17,4954,50,28.06,50.0,2.0,1.1,"LINESTRING (-8.612159200000001 41.1479515, -8.6121573 41.1479955, -8.612152699999999 41.1482038)",3,1,1,0
18,17,0,73.488,48.6,5.4,275.5,"LINESTRING (-8.6112856 41.147888, -8.6113836 41.1478963, -8.6114807 41.1479032, -8.612081399999999 41.147946, -8.612159200000001 41.1479515)",4,3,2,2
18,4879,50,48.344,50.0,3.5,138.9,"LINESTRING (-8.6112856 41.147888, -8.611313300000001 41.1477585, -8.6112892 41.1477179, -8.6112716 41.1477025, -8.6112526 41.1476857, -8.611212800000001 41.1476594, -8.611177100000001 41.1476496, -8.611136500000001 41.1476449, -8.611031799999999 41.1476321, -8.610982699999999 41.1476261)",4,2,2,2
